folder,old_name,new_name
Buildings,"BIG BUILDING_BODY.011","big_building"
Buildings,"BIG HOUSE.001_Material.066","big_house"
Buildings,"BIG HOUSE.003_Material.067","big_house_2"
Buildings,"BROWN BUILDING3_COLOR.014","brown_building3"
Buildings,"Book Shop_BODY.008","book_shop"
Buildings,"CARS PARKING_Material.059","cars_parking"
Buildings,"CENTER BUILDING_Material.022","center_building"
Buildings,"CLOTHES SHOP_Material.021","clothes_shop"
Buildings,"COFFEE SHOP_Material.019","coffee_shop"
Buildings,"COFFEE_COLOR.005","coffee"
Buildings,"COURT_Material.012","court"
Buildings,"Cube.007_Material.030","cube"
Buildings,"FAST FOOD_Material.018","fast_food"
Buildings,"FOOTBALL STADIUM_COLOR.004","football_stadium"
Buildings,"FRUIT SHOP.001_Material.020","fruit_shop"
Buildings,"FRUIT SHOP.002_Material.062","fruit_shop_2"
Buildings,"GAS STATION_COLOR.007","gas_station"
Buildings,"GREY BUILDING.001_Material.016","grey_building"
Buildings,"GREY BUILDING2.001_Material.005","grey_building2"
Buildings,"GREY BUILDING2.002_Material.035","grey_building2_2"
Buildings,"Game Shop_Material.024","game_shop"
Buildings,"GasStationGround_COLOR.006","gas_station_ground"
Buildings,"HOSPITAL_Material.010","hospital"
Buildings,"HOTEL_COLOR.013","hotel"
Buildings,"House.001_Material.065","house"
Buildings,"House.002_Material.063","house_2"
Buildings,"LIBRARY_COLOR.008","library"
Buildings,"Market.001_BODY.002","market"
Buildings,"ORANGE BUILDING3.001_COLOR.010","orange_building3"
Buildings,"ORANGE SMALL TOWER.001_COLOR.011","orange_small_tower"
Buildings,"Object_101","object_101"
Buildings,"Object_1045","object_1045"
Buildings,"Object_1095","object_1095"
Buildings,"Object_125","object_125"
Buildings,"Object_13","object_13"
Buildings,"Object_1315","object_1315"
Buildings,"Object_17","object_17"
Buildings,"Object_23","object_23"
Buildings,"Object_304","object_304"
Buildings,"Object_348","object_348"
Buildings,"Object_372","object_372"
Buildings,"Object_394","object_394"
Buildings,"Object_398","object_398"
Buildings,"Object_55","object_55"
Buildings,"Object_59","object_59"
Buildings,"Object_6","object_6"
Buildings,"Object_646","object_646"
Buildings,"Object_729","object_729"
Buildings,"Object_79","object_79"
Buildings,"Object_823","object_823"
Buildings,"Object_9","object_9"
Buildings,"PHARMACY.001_COLOR.016","pharmacy"
Buildings,"POLICE STATION_Material.026","police_station"
Buildings,"RESTAURANT_COLOR.001","restaurant"
Buildings,"SCHOOL_COLOR","school"
Buildings,"SMALL HOUSE.001_Material.064","small_house"
Buildings,"SMALL ROCK.001_Material.040","small_rock"
Buildings,"SPORT CENTER_Material.038","sport_center"
Buildings,"SWEET SHOP_Material.061","sweet_shop"
Buildings,"TENNIS STADIUM2_COLOR.003","tennis_stadium2"
Buildings,"TENNIS STADIUM_COLOR.017","tennis_stadium"
Buildings,"TOOLS SHOP.001_Material.015","tools_shop"
Buildings,"WHITE BUILDING3.001_COLOR.009","white_building3"
Buildings,"WHITE BUILDING3.006_COLOR.015","white_building3_2"
Buildings,"WHITE BUILDING_Material.017","white_building"
Buildings,"WHITE SMALL TOWER.001_COLOR.012","white_small_tower"
Buildings,"building_A","building_a"
Buildings,"building_B","building_b"
Buildings,"building_C","building_c"
Buildings,"building_D","building_d"
Buildings,"building_E","building_e"
Buildings,"building_F","building_f"
Buildings,"building_G","building_g"
Buildings,"building_H","building_h"
decors,"BL WHEEL.001_BODY.001","bl_wheel"
decors,"BL WHEEL.004_BODY.023","bl_wheel_2"
decors,"BODY.002_BODY.030","body"
decors,"BODY.008_BODY.010","body_2"
decors,"BR WHEEL.001_BODY.018","br_wheel"
decors,"BR WHEEL.002_BODY.015","br_wheel_2"
decors,"BR WHEEL.003_BODY.003","br_wheel_3"
decors,"BR WHEEL.005_BODY.004","br_wheel_4"
decors,"BR WHEEL.006_BODY.019","br_wheel_5"
decors,"BR WHEEL.008_BODY.007","br_wheel_6"
decors,"BR WHEEL.012_BODY.022","br_wheel_7"
decors,"BR WHEEL.013_BODY.025","br_wheel_8"
decors,"BR WHEEL.021_BODY.028","br_wheel_9"
decors,"BR WHEEL_BODY.027","br_wheel_10"
decors,"Body_BODY.016","body_3"
decors,"CHAIR.001_Material.047","chair"
decors,"CONCRETE.001_Material.054","concrete"
decors,"Cylinder.001_Material.027","cylinder"
decors,"FL WHEEL.002_BODY.005","fl_wheel"
decors,"FL WHEEL.003_BODY.017","fl_wheel_2"
decors,"FL WHEEL.006_BODY.006","fl_wheel_3"
decors,"FL WHEEL.007_BODY.026","fl_wheel_4"
decors,"FL WHEEL.009_BODY.020","fl_wheel_5"
decors,"FL WHEEL.010_BODY.021","fl_wheel_6"
decors,"FR WHEEL.001_BODY.024","fr_wheel"
decors,"FR WHEEL.018_BODY.013","fr_wheel_2"
decors,"FR WHEEL_BODY.029","fr_wheel_3"
decors,"GREEN RECYCLE BIN.001_Material.056","green_recycle_bin"
decors,"GREEN RECYCLE BIN.004_Material.057","green_recycle_bin_2"
decors,"GREEN RECYCLE BIN.009_Material.058","green_recycle_bin_3"
decors,"LIGHT STREET.001_Material.048","light_street"
decors,"LIGHT STREET2.001_Material.055","light_street2"
decors,"LOG.001_Material.060","log"
decors,"REAL TREE.001_Material.033","real_tree"
decors,"ROCK.001_Material.039","rock"
decors,"SPHEREICAL TREE.001_Material.034","sphereical_tree"
decors,"SPHEREICAL TREE1.001_Material.032","sphereical_tree1"
decors,"SQUARE TABLE.001_Material.049","square_table"
decors,"SQUARE TREE.001_Material.042","square_tree"
decors,"STOP SIGN.001_Material.053","stop_sign"
decors,"TABLE.001_Material.046","table"
decors,"TALL CHAIR.001_Material.050","tall_chair"
decors,"TALL CHAIR.002_Material.051","tall_chair_2"
decors,"TALL CHAIR2.001_Material.052","tall_chair2"
decors,"TRAFFIC CONE.001_Material.036","traffic_cone"
decors,"TRAFFIC CYLINDER.001_Material.044","traffic_cylinder"
decors,"TRAFFIC LIGHT.001_Material.003","traffic_light"
decors,"TRAFFIC LIGHT.011_Material.045","traffic_light_2"
decors,"TREE POT.001_Material.041","tree_pot"
decors,"TREE.001_Material.037","tree"
decors,"TREE.016_Material.043","tree_2"
decors,"TRIANGLE TREE.001_Material.031","triangle_tree"
decors,"bench","bench"
decors,"box_A","box_a"
decors,"box_B","box_b"
decors,"bush","bush"
decors,"car_stationwagon","car_stationwagon"
decors,"dc1","dc1"
decors,"dc2","dc2"
decors,"dc3","dc3"
decors,"dc4","dc4"
decors,"dc5","dc5"
decors,"dc6","dc6"
decors,"dc7","dc7"
decors,"dumpster","dumpster"
decors,"firehydrant","firehydrant"
decors,"streetlight","streetlight"
decors,"trafficlight_A","trafficlight_a"
decors,"trafficlight_B","trafficlight_b"
decors,"trafficlight_C","trafficlight_c"
decors,"trash_A","trash_a"
decors,"trash_B","trash_b"
decors,"watertower","watertower"
bases,"Ground.001_Material.009","ground"
bases,"Ground_Material.002","ground_2"
bases,"Not Walking Road2.001_Material.004","not_walking_road2"
bases,"Not Walking Road3.001_Material.025","not_walking_road3"
bases,"Not Walking Road3.002_Material.006","not_walking_road3_2"
bases,"OPEN ROAD.001_Material.014","open_road"
bases,"Parking Ground_Material.013","parking_ground"
bases,"Road.001_Material.001","road"
bases,"Straight Road.001_Material.007","straight_road"
bases,"Walking Road.001_Material.002","walking_road"
bases,"Walking Road2.001_Material.008","walking_road2"
bases,"Walking Road2.008_Material.023","walking_road2_2"
bases,"base","base"
bases,"ground","ground_3"
bases,"road_corner","road_corner"
bases,"road_corner_curved","road_corner_curved"
bases,"road_junction","road_junction"
bases,"road_straight","road_straight"
bases,"road_tsplit","road_tsplit"
bases,"stjunc","stjunc"
players,"Barbarian","barbarian"
players,"Knight","knight"
players,"Mage","mage"
players,"Rogue","rogue"
players,"cowboy","cowboy"
players,"police","police"
